itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"CwindA    ","x"," ",    4.40000    ,"(-)                 ","Coefficient in wind function a                    ","volume    ","volume    "," ","                              "
"CwindB    ","x"," ",    1.82000    ,"(-)                 ","Coefficient in wind function b                    ","volume    ","volume    "," ","                              "
"CwindC    ","x"," ",    0.00000    ,"(-)                 ","Coefficient in wind function c                    ","volume    ","volume    "," ","                              "
"Hwindm    ","x"," ",    10.0000    ,"(m)                 ","Height at which wind speed is measured            ","volume    ","volume    "," ","                              "
"Hwinda    ","x"," ",    10.0000    ,"(m)                 ","Height of wind speed needed for wind function     ","volume    ","volume    "," ","                              "
"Ctauwind  ","x"," ",   0.500000E-01,"(-)                 ","Roughness coef for calculation vwind              ","volume    ","volume    "," ","                              "
"cpa       ","x"," ",    1005.00    ,"(J/kg,K)            ","Specific heat capacity of air                     ","volume    ","volume    "," ","                              "
"RadRB     ","x"," ",    0.00000    ,"(W/m2)              ","Heat exchange between water and riverbed          ","volume    ","volume    "," ","                              "
"CP        ","x"," ",    4183.00    ,"(J/kg/oC)           ","specific heat of water                            ","volume    ","volume    "," ","                              "
"CorrTemp1D","x"," ",    0.00000    ,"(oC)                ","Correction of temperature near discharge 1D       ","volume    ","volume    "," ","                              "
"TempWref  ","x"," ",    15.0000    ,"(oC)                ","Reference water temperature for wind function     ","volume    ","volume    "," ","                              "
"SwitchTemp","x"," ",    1.00000    ,"(-)                 ","switch modelled temp is absolute(0) or surplus(1) ","volume    ","volume    "," ","                              "
"MinDepthT ","x"," ",   0.500000E-01,"(m)                 ","minimal depth for heatflux calculation            ","volume    ","volume    "," ","                              "
"RadSN     ","x"," ",   -999.000    ,"(W/m2)              ","non refl. (net) short wave rad. reaching wat      ","volume    ","volume    "," ","                              "
"cloud     ","x"," ",   -999.000    ,"(-)                 ","Cloud coverage (fraction)                         ","volume    ","volume    "," ","                              "
"Psvap     ","x"," ",   -999.000    ,"(mbar)              ","saturated vapour pressure in air                  ","volume    ","volume    "," ","                              "
"EmissAtm  ","x"," ",   -999.000    ,"(-)                 ","Emissivity (colour factor) for the atmosphere     ","volume    ","volume    "," ","                              "
"RadAN     ","x"," ",   -999.000    ,"(W/m2)              ","non refl. (net) atm long wave rad. reach wat      ","volume    ","volume    "," ","                              "
"RadBR     ","x"," ",   -999.000    ,"(W/m2)              ","Long wave back radiation from water               ","volume    ","volume    "," ","                              "
"RadLat    ","x"," ",   -999.000    ,"(W/m2)              ","Latent heat flux by evaporation or cond.          ","volume    ","volume    "," ","                              "
"HtCond    ","x"," ",   -999.000    ,"(W/m2)              ","sensible heat of conduction                       ","volume    ","volume    "," ","                              "
"HtTot     ","x"," ",   -999.000    ,"(W/m2)              ","Total heat flux                                   ","volume    ","volume    "," ","                              "
"PvapWa    ","x"," ",   -999.000    ,"(mbar)              ","sat vapour pressure at water-air interface        ","volume    ","volume    "," ","                              "
"VWinda    ","x"," ",   -999.000    ,"(m/s)               ","Calculated wind speed                             ","volume    ","volume    "," ","                              "
"Vevap     ","x"," ",   -999.000    ,"(m/s)               ","Evaporation rate                                  ","volume    ","volume    "," ","                              "
"RhoWater  ","x"," ",   -999.000    ,"(kg/m3)             ","density of water                                  ","volume    ","volume    "," ","                              "
"ModTemp   ","x"," ",   -999.000    ,"(oC)                ","Water Temperature                                 ","volume    ","volume    ","x","General                       "
"dTempHtfl ","x"," ",   -999.000    ,"(oC/d)              ","Flux on water temperature via heat balance        ","volume    ","volume    "," ","                              "
"RadSurf   ","x"," ",   -999.000    ,"(W/m2)              ","irradiation at the water surface                  ","volume    ","volume    "," ","                              "
"ITIME     ","x"," ",   -999.000    ,"(scu)               ","DELWAQ time                                       ","volume    ","volume    "," ","                              "
"Latitude  ","x"," ",    52.1000    ,"(degrees)           ","latitude of study area                            ","volume    ","volume    "," ","                              "
"RefDay    ","x"," ",    0.00000    ,"(d)                 ","daynumber of reference day simulation             ","volume    ","volume    "," ","                              "
"AuxSys    ","x"," ",    86400.0    ,"(scu/d)             ","ratio between days and system clock               ","volume    ","volume    "," ","                              "
"DayRadSurf","x"," ",    0.00000    ,"(W/m2)              ","actual irradiance over the day                    ","volume    ","volume    "," ","                              "
"DELT      ","x"," ",   -999.000    ,"(d)                 ","timestep for processes                            ","volume    ","volume    "," ","                              "
"FactRcHeat","x"," ",    1.00000    ,"(-)                 ","Factor on heat exchange                           ","volume    ","volume    "," ","                              "
"ZHeatExch ","x"," ",    0.00000    ,"(oC/d)              ","Zeroth-order heat exchange                        ","volume    ","volume    "," ","                              "
"SwTempDF  ","x"," ",    0.00000    ,"(-)                 ","switch temperature increase on tidal flats        ","volume    ","volume    "," ","                              "
"ThSedDT   ","x"," ",    0.00000    ,"(m)                 ","thickness sed. layer subjected to temp. change    ","volume    ","volume    "," ","                              "
"RadMax    ","x"," ",    1400.00    ,"(W/m2)              ","maximal irradiance                                ","volume    ","volume    "," ","                              "
"RTradmax  ","x"," ",    0.00000    ,"(oC/d)              ","max. rate temp. increase tidal flats              ","volume    ","volume    "," ","                              "
"DelTradmax","x"," ",    0.00000    ,"(oC)                ","max. temp. increase tidal flats radiation         ","volume    ","volume    "," ","                              "
"DelTev    ","x"," ",    0.00000    ,"(oC)                ","temperature decrease evaporation tidal flats      ","volume    ","volume    "," ","                              "
"DelTrad   ","x"," ",   -999.000    ,"(oC)                ","temperature increase due to radiation             ","volume    ","volume    "," ","                              "
"RCHeat    ","x"," ",   -999.000    ,"(1/d)               ","temperature exchange rate                         ","volume    ","volume    "," ","                              "
"Temp      ","x"," ",    15.0000    ,"(oC)                ","ambient water temperature                         ","volume    ","volume    "," ","                              "
"SurTemp   ","x"," ",   -999.000    ,"(oC)                ","Surplus temperature                               ","volume    ","volume    "," ","                              "
"dModtemp  ","x"," ",   -999.000    ,"(oC/d)              ","temperature exchange flux                         ","volume    ","volume    "," ","                              "
"FrCon     ","x"," ",   -999.000    ,"(-)                 ","Fraction fresh water from constant discharge      ","volume    ","volume    ","x","General                       "
"FrFlow    ","x"," ",   -999.000    ,"(-)                 ","Fraction fresh water from variable discharge      ","volume    ","volume    ","x","General                       "
"SalBnd    ","x"," ",   -999.000    ,"(ppt)               ","Salinity from boundary inflow                     ","volume    ","volume    ","x","General                       "
"Salinity  ","x"," ",    35.0000    ,"(g/kg)              ","Salinity                                          ","volume    ","volume    ","x","General                       "
"dDumVarSal","x"," ",   -999.000    ,"(-)                 ","dummy flux to access HorzDisper                   ","volume    ","volume    "," ","                              "
"WSNoseg1  ","x"," ",   -999.000    ,"(-)                 ","workspace array no. 1                             ","volume    ","volume    "," ","                              "
"WSNoseg2  ","x"," ",   -999.000    ,"(-)                 ","workspace array no. 2                             ","volume    ","volume    "," ","                              "
"WSNoseg3  ","x"," ",   -999.000    ,"(-)                 ","workspace array no. 3                             ","volume    ","volume    "," ","                              "
"WSNoseg4  ","x"," ",   -999.000    ,"(-)                 ","workspace array no. 4                             ","volume    ","volume    "," ","                              "
"MaxVeloc  ","x"," ",    0.00000    ,"(m/s)               ","maximum horizontal flow velocity                  ","volume    ","volume    "," ","                              "
"Orient_1  ","x"," ",   -999.000    ,"(degrees)           ","orientation of main positive flow direction       ","volume    ","volume    "," ","                              "
"Orient_2  ","x"," ",   -999.000    ,"(degrees)           ","orientation of secondary positive flow direct     ","volume    ","volume    "," ","                              "
"SWCalcVelo","x"," ",    1.00000    ,"(-)                 ","switch (1=lin avg, 2=Flow avg, 3=Area avg)        ","volume    ","volume    "," ","                              "
"SWAvgVelo ","x"," ",    1.00000    ,"(-)                 ","switch (1=Pythagoras, 2=Min, 3=Max)               ","volume    ","volume    "," ","                              "
"XArea     "," ","x",    0.00000    ,"(m2)                ","exchange area                                     ","volume    ","volume    "," ","                              "
"Flow      "," ","x",    0.00000    ,"(m3/s)              ","flow rate                                         ","volume    ","volume    "," ","                              "
"Velocity  ","x"," ",   0.500000    ,"(m/s)               ","horizontal flow velocity                          ","volume    ","volume    "," ","                              "
"FlowDir   ","x"," ",   -999.000    ,"(degrees)           ","flow direction relative to North                  ","volume    ","volume    "," ","                              "
"Veloc1    ","x"," ",   -999.000    ,"(m/s)               ","horizontal flow velocity first direction          ","volume    ","volume    "," ","                              "
"Veloc2    ","x"," ",   -999.000    ,"(m/s)               ","horizontal flow velocity second direction         ","volume    ","volume    "," ","                              "
"WSNoseg5  ","x"," ",   -999.000    ,"(-)                 ","workspace array no. 5                             ","volume    ","volume    "," ","                              "
"ResTim    ","x"," ",   -999.000    ,"(s)                 ","residence time                                    ","volume    ","volume    "," ","                              "
"dDumResTim","x"," ",   -999.000    ,"(-)                 ","dummy flux to access restim                       ","volume    ","volume    "," ","                              "
"VertDisper","x"," ",   -999.000    ,"(m2/s)              ","vertical dispersion                               ","volume    ","volume    "," ","                              "
"ScaleVdisp","x"," ",    1.00000    ,"(-)                 ","scaling factor for vertical diffusion             ","volume    ","volume    "," ","                              "
"VertDisp  "," ","x",   -999.000    ,"(m2/s)              ","vertical dispersion                               ","volume    ","volume    "," ","                              "
"Cl        ","x"," ",    20000.0    ,"(g/m3)              ","Chloride                                          ","volume    ","volume    ","x","General                       "
"IM1       ","x"," ",    0.00000    ,"(gDM/m3)            ","inorganic matter (IM1)                            ","volume    ","volume    ","x","Suspended matter              "
"IM2       ","x"," ",    0.00000    ,"(gDM/m3)            ","inorganic matter (IM2)                            ","volume    ","volume    ","x","Suspended matter              "
"IM3       ","x"," ",    0.00000    ,"(gDM/m3)            ","inorganic matter (IM3)                            ","volume    ","volume    ","x","Suspended matter              "
"Cd        ","x"," ",   -999.000    ,"(g/m3)              ","Cadmium (Cd)                                      ","volume    ","volume    ","x","Heavy metals                  "
"Cu        ","x"," ",   -999.000    ,"(g/m3)              ","Copper (Cu)                                       ","volume    ","volume    ","x","Heavy metals                  "
"Zn        ","x"," ",   -999.000    ,"(g/m3)              ","Zinc (Zn)                                         ","volume    ","volume    ","x","Heavy metals                  "
"Cr        ","x"," ",   -999.000    ,"(g/m3)              ","Chromium (Cr)                                     ","volume    ","volume    ","x","Heavy metals                  "
"Hg        ","x"," ",   -999.000    ,"(g/m3)              ","Mercury (Hg)                                      ","volume    ","volume    ","x","Heavy metals                  "
"Pb        ","x"," ",   -999.000    ,"(g/m3)              ","Lead (Pb)                                         ","volume    ","volume    ","x","Heavy metals                  "
"As        ","x"," ",   -999.000    ,"(g/m3)              ","Arsenic (As)                                      ","volume    ","volume    ","x","DummyGroup                    "
"Va        ","x"," ",   -999.000    ,"(g/m3)              ","Vanadium (Va)                                     ","volume    ","volume    ","x","Heavy metals                  "
"Ni        ","x"," ",   -999.000    ,"(g/m3)              ","Nickel (Ni)                                       ","volume    ","volume    ","x","Heavy metals                  "
"BODC      ","x"," ",   -999.000    ,"{no unit}           ","BOD-Carbon                                        ","volume    ","volume    ","x","Oxygen-BOD                    "
"Green     ","x"," ",    0.00000    ,"(gC/m3)             ","Algae (non-Diatoms)                               ","volume    ","volume    ","x","Eutrophication                "
"Diat      ","x"," ",    0.00000    ,"(gC/m3)             ","Diatoms                                           ","volume    ","volume    ","x","Eutrophication                "
"DetC      ","x"," ",    0.00000    ,"(gC/m3)             ","Detritus Carbon  (DetC)                           ","volume    ","volume    "," ","                              "
"NO3       ","x"," ",    0.00000    ,"(gN/m3)             ","Nitrate (NO3)                                     ","volume    ","volume    ","x","Eutrophication                "
"NH4       ","x"," ",    0.00000    ,"(gN/m3)             ","Ammonium (NH4)                                    ","volume    ","volume    ","x","Eutrophication                "
"DetN      ","x"," ",    0.00000    ,"(gN/m3)             ","Detritus Nitrogen (DetN)                          ","volume    ","volume    "," ","                              "
"PO4       ","x"," ",    0.00000    ,"(gP/m3)             ","Ortho-Phosphate (PO4)                             ","volume    ","volume    ","x","Eutrophication                "
"AAP       ","x"," ",    0.00000    ,"(gP/m3)             ","adsorbed ortho phosphate                          ","volume    ","volume    ","x","Eutrophication                "
"DetP      ","x"," ",    0.00000    ,"(gP/m3)             ","Detritus Phosphorus (DetP)                        ","volume    ","volume    "," ","                              "
"Si        ","x"," ",    0.00000    ,"(gSi/m3)            ","dissolved Silica (Si)                             ","volume    ","volume    ","x","Eutrophication                "
"DetSi     ","x"," ",    0.00000    ,"(gSi/m3)            ","Detritus Silica (DetSi)                           ","volume    ","volume    "," ","                              "
"OXY       ","x"," ",    10.0000    ,"(g/m3)              ","Dissolved Oxygen                                  ","volume    ","volume    ","x","Oxygen-BOD                    "
"TColi     ","x"," ",   -999.000    ,"(MPN/m3)            ","Total coli bacteria                               ","volume    ","volume    ","x","Coli-Bacteria                 "
"EColi     ","x"," ",   -999.000    ,"(MPN/m3)            ","E. Coli bacteria                                  ","volume    ","volume    ","x","Coli-Bacteria                 "
"FColi     ","x"," ",   -999.000    ,"(MPN/m3)            ","Faecal coli bacteria                              ","volume    ","volume    ","x","Coli-Bacteria                 "
"EnCoc     ","x"," ",   -999.000    ,"(MPN/m3)            ","Enterococci bacteria                              ","volume    ","volume    ","x","Coli-Bacteria                 "
"153       ","x"," ",   -999.000    ,"(g/m3)              ","Polychloorbiphenyl (PCB-153)                      ","volume    ","volume    ","x","Organic micro pollutants      "
"ATR       ","x"," ",   -999.000    ,"(g/m3)              ","Atrazine (Atr)                                    ","volume    ","volume    ","x","Organic micro pollutants      "
"BaP       ","x"," ",   -999.000    ,"(g/m3)              ","Benzo(a)pyrene (BaP)                              ","volume    ","volume    ","x","Organic micro pollutants      "
"Flu       ","x"," ",   -999.000    ,"(g/m3)              ","Fluoranthene (Flu)                                ","volume    ","volume    ","x","Organic micro pollutants      "
"Mef       ","x"," ",   -999.000    ,"(g/m3)              ","Mefinphos (Mef)                                   ","volume    ","volume    ","x","Organic micro pollutants      "
"Diu       ","x"," ",   -999.000    ,"(g/m3)              ","Diuron (Diu)                                      ","volume    ","volume    ","x","Organic micro pollutants      "
"HCH       ","x"," ",   -999.000    ,"(g/m3)              ","Lindane (HCH)                                     ","volume    ","volume    ","x","Organic micro pollutants      "
"HCB       ","x"," ",   -999.000    ,"(g/m3)              ","Hexachlorobenzene (HCH)                           ","volume    ","volume    ","x","Organic micro pollutants      "
"cTR1      ","x"," ",   -999.000    ,"(g/m3)              ","conservative tracer source 1                      ","volume    ","volume    ","x","Age and fraction              "
"dTR1      ","x"," ",   -999.000    ,"(g/m3)              ","decayable tracer source 1                         ","volume    ","volume    ","x","Age and fraction              "
"cTR2      ","x"," ",   -999.000    ,"(g/m3)              ","conservative tracer source 2                      ","volume    ","volume    ","x","Age and fraction              "
"dTR2      ","x"," ",   -999.000    ,"(g/m3)              ","decayable tracer source 2                         ","volume    ","volume    ","x","Age and fraction              "
"cTR3      ","x"," ",   -999.000    ,"(g/m3)              ","conservative tracer source 3                      ","volume    ","volume    ","x","Age and fraction              "
"dTR3      ","x"," ",   -999.000    ,"(g/m3)              ","decayable tracer source 3                         ","volume    ","volume    ","x","Age and fraction              "
"cTR4      ","x"," ",   -999.000    ,"(g/m3)              ","conservative tracer source 4                      ","volume    ","volume    ","x","Age and fraction              "
"dTR4      ","x"," ",   -999.000    ,"(g/m3)              ","decayable tracer source 4                         ","volume    ","volume    ","x","Age and fraction              "
"cTR5      ","x"," ",   -999.000    ,"(g/m3)              ","conservative tracer source 5                      ","volume    ","volume    ","x","Age and fraction              "
"dTR5      ","x"," ",   -999.000    ,"(g/m3)              ","decayable tracer source 5                         ","volume    ","volume    ","x","Age and fraction              "
"OOC       ","x"," ",    0.00000    ,"(gC/m3)             ","Other Organic Carbon (OOC)                        ","volume    ","volume    "," ","                              "
"OON       ","x"," ",    0.00000    ,"(gN/m3)             ","Other Organic Nitrogen (OON)                      ","volume    ","volume    "," ","                              "
"OOP       ","x"," ",    0.00000    ,"(gN/m3)             ","Other Organic Phosphorus (OOP)                    ","volume    ","volume    "," ","                              "
"OOSi      ","x"," ",    0.00000    ,"(gSi/m3)            ","Other Organic Silica (OOSi)                       ","volume    ","volume    "," ","                              "
"TIC       ","x"," ",    0.00000    ,"(gC/m3)             ","total inorganic carbonate                         ","volume    ","volume    ","x","General                       "
"H+        ","x"," ",   -999.000    ,"{no unit}           ","H+                                                ","volume    ","volume    ","x","Charon species                "
"H2O       ","x"," ",   -999.000    ,"{no unit}           ","H2O                                               ","volume    ","volume    ","x","Charon species                "
"CBOD5     ","x"," ",    0.00000    ,"(gO2/m3)            ","carbonaceous BOD (first pool) at 5 days           ","volume    ","volume    ","x","Oxygen-BOD                    "
"CBOD5_2   ","x"," ",    0.00000    ,"(gO2/m3)            ","carbonaceous BOD (second pool) at 5 days          ","volume    ","volume    ","x","Oxygen-BOD                    "
"CBOD5_3   ","x"," ",    0.00000    ,"(gO2/m3)            ","carbonaceous BOD (third pool) at 5 days           ","volume    ","volume    ","x","Oxygen-BOD                    "
"CBODu     ","x"," ",    0.00000    ,"(gO2/m3)            ","carbonaceous BOD (first pool) ultimate            ","volume    ","volume    ","x","Oxygen-BOD                    "
"CBODu_2   ","x"," ",    0.00000    ,"(gO2/m3)            ","carbonaceous BOD (second pool) ultimate           ","volume    ","volume    ","x","Oxygen-BOD                    "
"COD_Cr    ","x"," ",    0.00000    ,"(gO2/m3)            ","COD concentration by the Cr-method                ","volume    ","volume    ","x","Oxygen-BOD                    "
"COD_Mn    ","x"," ",    0.00000    ,"(gO2/m3)            ","COD concentration by the Mn-method                ","volume    ","volume    ","x","Oxygen-BOD                    "
"NBOD5     ","x"," ",    0.00000    ,"(gO2/m3)            ","nitrogenous BOD at 5 days                         ","volume    ","volume    ","x","Oxygen-BOD                    "
"NBODu     ","x"," ",    0.00000    ,"(gO2/m3)            ","nitrogenous BOD ultimate                          ","volume    ","volume    ","x","Oxygen-BOD                    "
"POC1      ","x"," ",    0.00000    ,"(gC/m3)             ","POC1 (fast decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"POC2      ","x"," ",    0.00000    ,"(gC/m3)             ","POC2 (medium decomposing fraction)                ","volume    ","volume    ","x","GEM Substances                "
"POC3      ","x"," ",    0.00000    ,"(gC/m3)             ","POC3 (slow decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"POC4      ","x"," ",    0.00000    ,"(gC/m3)             ","POC4 (particulate refractory fraction)            ","volume    ","volume    ","x","GEM Substances                "
"DOC       ","x"," ",    0.00000    ,"(gC/m3)             ","Dissolved Organic Carbon (DOC)                    ","volume    ","volume    ","x","GEM Substances                "
"PON1      ","x"," ",    0.00000    ,"(gN/m3)             ","PON1 (fast decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"PON2      ","x"," ",    0.00000    ,"(gN/m3)             ","PON2 (medium decomposing fraction)                ","volume    ","volume    ","x","GEM Substances                "
